uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"d8cf1357-674f-4148-920a-d2c8a572d377","BLAN_019.basePlot.brd","D02","BLAN","BLAN_019","distributed","21","pastureHay",39.087842,-77.966033,"WGS84",20.1,120.2,0.1,"2021-05-21T10:16Z",,"OK","BLAN_019.21.2021-05-21",0,0,80,80,"grassland",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"e01f23bd-5ec7-4d60-b950-f6b65f8f9563","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","pastureHay",39.087516,-77.962567,"WGS84",20.1,128.4,0.1,"2021-05-21T10:27Z",,"OK","BLAN_004.21.2021-05-21",0,0,80,80,"grassland",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"4bea10b5-2c39-4aac-b168-ef309ebe2e17","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","deciduousForest",39.087919,-77.958389,"WGS84",20.2,128.3,0.3,"2021-05-21T10:41Z",,"OK","BLAN_001.21.2021-05-21",0,0,80,80,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"f3816f6b-79c7-4b88-8ee3-6b726a724512","BLAN_015.basePlot.brd","D02","BLAN","BLAN_015","distributed","21","deciduousForest",39.087544,-77.954623,"WGS84",20.1,124.7,0.2,"2021-05-21T11:00Z",,"OK","BLAN_015.21.2021-05-21",0,0,78,78,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"91f6f98a-274d-4bf7-b758-8461e63a6b96","BLAN_014.basePlot.brd","D02","BLAN","BLAN_014","distributed","21","pastureHay",39.081458,-77.958693,"WGS84",20.1,120.3,0.1,"2021-05-21T11:20Z",,"OK","BLAN_014.21.2021-05-21",0,0,78,78,"grassland",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"c4dc0969-42b3-41b8-89d4-101851789802","BLAN_003.basePlot.brd","D02","BLAN","BLAN_003","distributed","21","pastureHay",39.078872,-77.963659,"WGS84",20.1,121.8,0.1,"2021-05-21T11:34Z",,"OK","BLAN_003.21.2021-05-21",0,0,77,77,"grassland",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"825a0f92-f550-482b-9bb5-4ddee0ab3d48","BLAN_013.basePlot.brd","D02","BLAN","BLAN_013","distributed","21","deciduousForest",39.080851,-77.968090,"WGS84",20.2,140.5,0.3,"2021-05-21T11:53Z",,"OK","BLAN_013.21.2021-05-21",0,0,75,75,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"62b9d20d-f4e3-42ba-842c-b2f60a5c3d3f","BLAN_018.basePlot.brd","D02","BLAN","BLAN_018","distributed","21","deciduousForest",39.081529,-77.962499,"WGS84",20.1,139.8,0.2,"2021-05-21T12:16Z",,"OK","BLAN_018.21.2021-05-21",0,0,72,72,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"3e1c1476-1190-4f1f-b935-57d32e657d5a","BLAN_006.basePlot.brd","D02","BLAN","BLAN_006","distributed","21","pastureHay",39.083999,-77.963812,"WGS84",20.1,154.4,0.1,"2021-05-21T12:29Z",,"OK","BLAN_006.21.2021-05-21",0,0,70,70,"grassland",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"a3300d04-41a2-4919-aee8-f38021004dc0","BLAN_007.basePlot.brd","D02","BLAN","BLAN_007","distributed","21","deciduousForest",39.085485,-77.969265,"WGS84",20.3,156.3,0.4,"2021-05-21T12:47Z",,"OK","BLAN_007.21.2021-05-21",0,0,70,70,"deciduous forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"e701a8a0-8efe-4225-be39-90e9179aa457","BLAN_005.basePlot.brd","D02","BLAN","BLAN_005","distributed","21","deciduousForest",39.087456,-77.971942,"WGS84",20.1,137.4,0.2,"2021-05-21T13:07Z",,"OK","BLAN_005.21.2021-05-21",0,0,66,66,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"4ad51760-86ae-4436-b596-b38f10a8bd45","BLAN_019.basePlot.brd","D02","BLAN","BLAN_019","distributed","21","pastureHay",39.087842,-77.966033,"WGS84",20.1,120.2,0.1,"2021-05-24T10:40Z",,"OK","BLAN_019.21.2021-05-24",100,100,91,91,"grassland",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"3bd55490-0602-4db4-9cf3-9b9aa2a41f00","BLAN_004.basePlot.brd","D02","BLAN","BLAN_004","distributed","21","pastureHay",39.087516,-77.962567,"WGS84",20.1,128.4,0.1,"2021-05-24T10:54Z",,"OK","BLAN_004.21.2021-05-24",100,100,91,91,"grassland",20,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"cbca605a-8be5-4db2-8e7c-e379c201926d","BLAN_001.basePlot.brd","D02","BLAN","BLAN_001","distributed","21","deciduousForest",39.087919,-77.958389,"WGS84",20.2,128.3,0.3,"2021-05-24T11:06Z",,"OK","BLAN_001.21.2021-05-24",100,100,90,90,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"634083f7-23b5-49e7-8065-dab9f3c53b47","BLAN_015.basePlot.brd","D02","BLAN","BLAN_015","distributed","21","deciduousForest",39.087544,-77.954623,"WGS84",20.1,124.7,0.2,"2021-05-24T11:26Z",,"OK","BLAN_015.21.2021-05-24",100,100,94,94,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"7ed13e5c-1204-4203-b3f9-1206fe5040cc","BLAN_014.basePlot.brd","D02","BLAN","BLAN_014","distributed","21","pastureHay",39.081458,-77.958693,"WGS84",20.1,120.3,0.1,"2021-05-24T11:43Z",,"OK","BLAN_014.21.2021-05-24",100,100,96,96,"grassland",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"eb458762-5256-43be-83e2-462f6defd907","BLAN_003.basePlot.brd","D02","BLAN","BLAN_003","distributed","21","pastureHay",39.078872,-77.963659,"WGS84",20.1,121.8,0.1,"2021-05-24T11:57Z",,"OK","BLAN_003.21.2021-05-24",100,100,96,96,"grassland",20,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"d52d1545-76e9-4187-be5d-9f589e13f141","BLAN_013.basePlot.brd","D02","BLAN","BLAN_013","distributed","21","deciduousForest",39.080851,-77.968090,"WGS84",20.2,140.5,0.3,"2021-05-24T12:15Z",,"OK","BLAN_013.21.2021-05-24",100,100,95,95,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"84e78ac5-5612-4e6b-8689-2e18006dd725","BLAN_018.basePlot.brd","D02","BLAN","BLAN_018","distributed","21","deciduousForest",39.081529,-77.962499,"WGS84",20.1,139.8,0.2,"2021-05-24T12:39Z",,"OK","BLAN_018.21.2021-05-24",100,100,94,94,"deciduous forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"a4fa7612-9ba6-4d16-a544-2e79ea23924e","BLAN_006.basePlot.brd","D02","BLAN","BLAN_006","distributed","21","pastureHay",39.083999,-77.963812,"WGS84",20.1,154.4,0.1,"2021-05-24T12:53Z",,"OK","BLAN_006.21.2021-05-24",100,100,91,91,"grassland",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"f555ab45-e693-4af5-a42f-1b219b3c0df3","BLAN_007.basePlot.brd","D02","BLAN","BLAN_007","distributed","21","deciduousForest",39.085485,-77.969265,"WGS84",20.3,156.3,0.4,"2021-05-24T13:07Z",,"OK","BLAN_007.21.2021-05-24",100,100,92,92,"deciduous forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
"27112c00-e9ef-4ba9-a20f-f1bf5b41d9a6","BLAN_005.basePlot.brd","D02","BLAN","BLAN_005","distributed","21","deciduousForest",39.087456,-77.971942,"WGS84",20.1,137.4,0.2,"2021-05-24T13:30Z",,"OK","BLAN_005.21.2021-05-24",100,100,93,93,"deciduous forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vK",,"CEBER"
